common_name,country,total_observations
"Chinese Sturgeon",Indonesia,1
"Nile Perch",Indonesia,1
"Frail Gourami",Indonesia,1
"Pura Chromi",Indonesia,1
"Yangtze Catfish",Indonesia,1
"Pterocryptis Furnessi",Indonesia,1
"Darkspot Tuskfish",Indonesia,1
Sandburrower,Indonesia,1
Stephanolepis,Indonesia,1
"Veined Catfish",Indonesia,1
"Grammonus Thielei",Indonesia,1
"Robust Armour Gurnard",Indonesia,1
"Argentine Humphead",Indonesia,1
Selaroides,Indonesia,1
"Atlantic Mudskipper",Indonesia,1
"Dendritic Jawfish",Indonesia,1
"Atlantic Bumper",Indonesia,1
"Blue Runner",Indonesia,1
"Atlantic Needlefish",Indonesia,1
"Silver Perch",Indonesia,1
"Spotfin Flyingfish",Indonesia,1
"Capricorn Cardinalfish",Indonesia,1
"Tropical Gar",Indonesia,1
"Callionymus Japonicus",Indonesia,1
"Hyaline Cardinalfish",Indonesia,1
"Margined Flyingfish",Indonesia,1
"Redback Ring Wrasse",Indonesia,1
Moonyfish,Indonesia,1
"Otomebora Mullet",Indonesia,1
Nandus,Indonesia,1
Harpadon,Indonesia,1
"Pink Mud Goby",Indonesia,1
Bregmaceros,Indonesia,1
"Hawaiian Sergeant Major",Indonesia,1
Peckoltia,Indonesia,1
"Bay Snook",Indonesia,1
"Calvus Cichlid",Indonesia,1
"Red Spot Puffer",Indonesia,1
"Mexican Tetra",Indonesia,1
"Flame Angelfish",Indonesia,1
"Malabar Thryssa",Indonesia,1
"Thinspine Sea Catfish",Indonesia,1
"Beardless Sea Catfish",Indonesia,1
Hypsypops,Indonesia,1
"Oriental Weatherfish",Indonesia,1
"Big-Head Pennah Croaker",Indonesia,1
"Neolissochilus Soro",Indonesia,1
"Banded Ilisha",Indonesia,1
"Redbelly Tilapia",Indonesia,1
"Tailspot Ctenopoma",Indonesia,1
Grass-Eater,Indonesia,1
"Giant Chinese Bitterling",Indonesia,1
"Celebes Rainbowfish",Indonesia,1
"Nemacheilus Spiniferus",Indonesia,1
"Large-Scale Yellowfish",Indonesia,1
"Sharpnose Wrasse",Indonesia,1
"Nemadoras Elongatus",Indonesia,1
"Spotted Tongue Sole",Indonesia,1
"Pygmy Corydora",Indonesia,1
"Betta Obscura",Indonesia,1
"Spiketail Licorice Gourami",Indonesia,1
"Glassy Medaka",Indonesia,1
"Achara Catfish",Indonesia,1
"Microphysogobio Tafangensis",Indonesia,1
Dorado,Indonesia,1
"Lipstick Leporinu",Indonesia,1
"Lophiosilurus Apurensis",Indonesia,1
"Cyaneyed Tetra",Indonesia,1
"Hairy Puffer",Indonesia,1
"Dambas And Allie",Indonesia,1
"Shadow Catfish",Indonesia,1
"Lyon'S Cichlid",Indonesia,1
Gadoidei,Indonesia,1
"Pangio Anguillaris",Indonesia,1
"Common Sole",Indonesia,1
Rachycentron,Indonesia,1
Gobiesocinae,Indonesia,1
"Japanese Scad",Indonesia,1
"Asian Featherback",Indonesia,1
"Redbreast Tilapia",Indonesia,1
"Flyspecked Hardyhead",Indonesia,1
"Luciocephaline Gourami",Indonesia,1
"Lowland Cichlid",Indonesia,1
"Black Marlin",Indonesia,1
"Butis Humeralis",Indonesia,1
"Redtail Notho",Indonesia,1
"Banded Knifefish",Indonesia,1
"Arrowhead Puffer",Indonesia,1
Payara,Indonesia,1
"Common Wolffish",Indonesia,1
"Southern Saratoga",Indonesia,1
"Sumatran River Sprat",Indonesia,1
"Typical Sturgeon",Indonesia,1
"Sleepy Cod",Indonesia,1
Traccatichthys,Indonesia,1
"Black Wolffish",Indonesia,1
"Goeldiella Eques",Indonesia,1
"Cockatoo Dwarf Cichlid",Indonesia,1
"Mystus Bocourti",Indonesia,1
"African Redeye Tetra",Indonesia,1
"Reticulated Knifefish",Indonesia,1
Malapterurus,Indonesia,1
"Spotted Borneo Sucker",Indonesia,1
"Vanderhorstia Dawnarnallae",Indonesia,1
"Neolissochilus Hendersoni",Indonesia,1
"Dwarf Pygmy Goby",Indonesia,1
"Amur Sturgeon",Indonesia,1
"Crosshatch Triggerfish",Indonesia,1
"Bicolour Parrotfish",Indonesia,1
"Siboga Blenny",Indonesia,1
"Satomi'S Pygmy Seahorse",Indonesia,1
"Silver Grunter",Indonesia,1
Bunaka,Indonesia,1
"Microphis Brachyurus Brachyurus",Indonesia,1
"Aru Gudgeon",Indonesia,1
"Glossogobius Illimis",Indonesia,1
"Coral Seahorse",Indonesia,1
"Bluespot Butterflyfish",Indonesia,1
Trigonopoma,Indonesia,1
Hemiarius,Indonesia,1
"Ochreband Goatfish",Indonesia,1
"Cenderawasih Damselfish",Indonesia,1
"Cenderawasih Fusilier",Indonesia,1
"Cenderawasih Wrasse",Indonesia,1
"Twinbar Cardinalfish",Indonesia,1
"Black And White Butterflyfish",Indonesia,1
"Albulichthys Albuloides",Indonesia,1
"Banded Damsel",Indonesia,1
"Sand Toby",Indonesia,1
"Pacific Tripletail",Indonesia,1
"Olive Flounder",Indonesia,1
"Meshed Pygmygoby",Indonesia,1
Uraspis,Indonesia,1
"Yellowskin Dwarfgoby",Indonesia,1
"Russian Sturgeon",Indonesia,1
"Spotfin Hatchetfish",Indonesia,1
"Freshwater Demoiselle",Indonesia,1
Ailia,Indonesia,1
"Esomus Malayensis",Indonesia,1
Flagtail,Indonesia,1
"Bluegray Mbuna",Indonesia,1
"Northern Redbelly Dace",Indonesia,1
Pseudapocryptes,Indonesia,1
"Biglip Damsel",Indonesia,1
"Coho Salmon",Indonesia,1
"Giraffe Catfish",Indonesia,1
"Long-Fin Tetra",Indonesia,1
"Triportheus Angulatus",Indonesia,1
"Northern Seahorse",Indonesia,1
"Barbodes Bunau",Indonesia,1
"Cochu'S Blue Tetra",Indonesia,1
"Royal Tetra",Indonesia,1
"Adolfo'S Cory",Indonesia,1
Gyrinocheilus,Indonesia,1
"Five-Spotted Cichlid",Indonesia,1
"Yellowfin Whiting",Indonesia,1
Scomberoidinae,Indonesia,1
"Deepsea Bigeye",Indonesia,1
Aurigequula,Indonesia,1
Chelidonichthys,Indonesia,1
"Banded Jewelfish",Indonesia,1
"Black Basse",Indonesia,1
"Madagascar Rainbowfish",Indonesia,1
"Rasborichthys Helfrichii",Indonesia,1
Hippichthys,Indonesia,1
"Butter Catfish",Indonesia,1
"Johnius Macropterus",Indonesia,1
Alectis,Indonesia,1
Psettodes,Indonesia,1
Clupea,Indonesia,1
Angler,Indonesia,1
"Tiger Pipefish",Indonesia,1
"King Angelfish",Indonesia,1
"Red Scorpionfish",Indonesia,1
"Burmese Snakehead",Indonesia,1
"Sturgeons And Paddlefish",Indonesia,1
"Hong Kong Butterflyfish",Indonesia,1
"Reunion Seahorse",Indonesia,1
Heteropriacanthus,Indonesia,1
Idiotropiscis,Indonesia,1
"Rosy Tetra",Indonesia,1
"Spotted Scorpionfish",Indonesia,1
"Pacific Threadfin",Indonesia,1
"Indian Damsel",Indonesia,1
"Redthroat Emperor",Indonesia,1
"Dark-Spotted Moray",Indonesia,1
Barracudina,Indonesia,1
"Scalyfin Threefin",Indonesia,1
"Atlantic Spadefish",Indonesia,1
"Shaw'S Cowfish",Indonesia,1
Glossolepis,Indonesia,1
Chromobotia,Indonesia,1
"White Cloud Minnow",Indonesia,1
"Whitebar Surgeonfish",Indonesia,1
Pumpkinseed,Indonesia,1
Pethia,Indonesia,1
"Northern Anchovy",Indonesia,1
"Mediterranean Cardinalfish",Indonesia,1
"Flavescent Peacock Cichlid",Indonesia,1
Pencilfish,Indonesia,1
"White Perch",Indonesia,1
"Atlantic Menhaden",Indonesia,1
"Marakely Cichlid",Indonesia,1
"Topsmelt Silverside",Indonesia,1
"Golden Dwarf Barb",Indonesia,1
Cichlasoma,Indonesia,1
"Zebra Mbuna",Indonesia,1
Luderick,Indonesia,1
"White Catfish",Indonesia,1
Paratilapia,Indonesia,1
"Tropheops Microstoma",Indonesia,1
Angelfish,Indonesia,1
Pinfish,Indonesia,1
"Zebra Catfish",Indonesia,1
"Indian Featherback",Indonesia,1
"Tadpole Fish",Indonesia,1
"Snakeskin Wrasse",Indonesia,1
Hyphessobrycon,Indonesia,1
Featherback,Indonesia,1
Cyphotilapia,Indonesia,1
Pseudomugil,Indonesia,1
"Silver Flying Fox",Indonesia,1
"Kennyi Cichlid",Indonesia,1
Pterapogon,Indonesia,1
"Hawaiian Dascyllu",Indonesia,1
"Spotted Trunkfish",Indonesia,1
"Yellowhead Wrasse",Indonesia,1
"Cortez Rainbow Wrasse",Indonesia,1
"Caribbean Bluehead Wrasse",Indonesia,1
"Spanish Hogfish",Indonesia,1
"Black Sea Bas",Indonesia,1
